,受理番号,相談種別ID,【相談内容分類：ガイドブックmission1に準拠して】,,件名,相談内容,相談備考,対応状況,処置備考,【FAQ用】検索キーワード,案件項目【Mission1】,提示する対策項目【Mission2～4】,【FAQ用】標準回答（案）,【FAQ用】対策のための参考資料・サイト（ここからセキュリティ等を参照）
76,52,2,01.個別サイバーセキュリティ事象の相談【Mission１】,09.内部不正による情報漏えいと業務停止,ＵＳＢメモリ粉失に関しての対応,"個人事業主として業務委託によるコンサル業を行っている。
業務上の取り扱い個人情報（氏名、生年月日、家族、年収、給与等）約５０名～６０名をＵＳＢメモリに保管していた。

１１月１２日にＵＳＢメモリの粉失を確認した。（杉並区阿佐ヶ谷暑へ届済）
推定では、１１月２日～９日間での移動中に粉失した可能性が高い。

①ＵＳＢメモリの個人情報は、粉失直前に、マニアルでＵＳＢメモリから削除しているが、復元される可能性はあるのか？
②ＵＳＢメモリは暗号化されていない。
③取得者による悪意の個人情報使用が心配であり、今後の対応方法を知りたい。",,"ＵＳＢメモリ内のスプレッドシート（Ｅｘeｌ，Ｗｏｒｄ）からのデータマニアル削除は復元可能。今後ＵＳＢメモリは最低限暗号化機能を使用することを説明。

①粉失ＵＳＢメモリ情報の漏えいに備えて、粉失情報の一覧表作成する。（緊急時への対応）
②対象個人への対処は、業務委託元と協議を依頼。（委託元のセキュリティポリシイによる判断が必要）",,,,,,
77,3,4,01.個別サイバーセキュリティ事象の相談【Mission１】,09.内部不正による情報漏えいと業務停止,元従業員（嘱託員）による自社名義ホームページの無断開設について,元従業員（嘱託員）が、無断で会社の名前やロゴ、社長の写真を使って、偽りのホームページを作って使っていた。現在は、偽りのホームページは削除したが、元従業員がどのような犯罪に該当するのか参考まで教えてもらいたい。,相談者が、警視庁サイバー犯罪相談窓口に電話をした際、同サイバー犯罪相談窓口から当中小企業サイバーセキュリティー相談窓口を紹介され、電話してきたものである。,各種法令に抵触する可能性があるので、希望があれば管轄署である愛宕警察署保安係に相談に行くよう教示した。,警視庁サイバーセキュリティー対策本部石井警部に連絡済み。,,ガイドブックP.26,,,
78,39,1,01.個別サイバーセキュリティ事象の相談【Mission１】,09.内部不正による情報漏えいと業務停止,元社員から、社員を脅迫するメール攻撃を受けているがどう対処すれば良いか教えてほしい。,"１　当社のメールアドレスに対し、元社員から「給料の未払い分を支払え」という内容のメールが繰り返しあり、嫌がらせメールと判断し相手にしなかった。
２　すると、元社員は「会社や社員の情報を持っているお金を支払わなければインターネット上にばらまく」更に「女性社員の名前を出して、男性器をなめろ」等と脅迫や卑猥なメールを毎日送信してきた。
３　元社員からのメールなので、なるべく穏便に済ませたいと思っているが、内容が脅迫や卑猥なメールになってきたので、会社として大変困ってきているので、今後どうしたら良いか対処方法等を教えてもらいたい。",,"１　元社員から、これまで送信されてきたメール内容を全部保存し、証拠化しておくこと。
２　証拠化したメール内容をコピーし、管轄警察署である万世橋警察署に対し、被害届を提出すること等を教示した。",,,ガイドブックP.26,,,
79,51,1,01.個別サイバーセキュリティ事象の相談【Mission１】,09.内部不正による情報漏えいと業務停止,退職者がシステムに侵入したり、女性経営者を盗撮してウェブにアップしている？,"■状況
ネットワーク経由で情報が盗まれているようだ。
また、無断で経営者の後姿を撮って、ウェブに掲載したようだ。
■現状確認
元システム管理者の仕業と思っている
現在はシステム管理者がいない
個々のシステムの管理が外部に委託している
ルータのパスワードは変更できないので、新しいのしたほうがいいと言われ入れ替えた
個々のシステムの管理業者の言いなりになっているため、適切な対応が取れていない",,"■原因
スキルの高いシステム管理者が退職したあと、全体がわかる管理者がいないため
■緊急対応
嫌がらせ、盗撮行為は、ストーカー行為に相当するので、管轄の警察署の生活安全課に相談するように
■暫定的対策
退職者のIDは削除する
全ての機器の管理者権限のパスワードを定期的に変更
■恒久的対策
システム管理、セキュリティ管理ができる情報処理技術を保有する人材を育成もしくは確保する
その人材が中心となって、システム化、セキュリティ対策を体系的に実施する",経営者の方からの相談であるが、システム管理に関して十分な知見がないにも関わらず、自分の言っていることは正しいと誤認している。このような経営者に正しいIT知識を習得させることが重要。,,ガイドブックP.26,,"■原因
システムがわかる管理者がいないため
■緊急対応
嫌がらせ、盗撮行為は、ストーカー行為に相当するので、管轄の警察署の生活安全課に相談するように
■暫定的対策
退職者のIDは削除する
全ての機器の管理者権限のパスワードを定期的に変更
■恒久的対策
システム管理、セキュリティ管理ができる情報処理技術を保有する人材を育成もしくは確保する
その人材が中心となって、システム化、セキュリティ対策を体系的に実施する",
80,71,4,01.個別サイバーセキュリティ事象の相談【Mission１】,09.内部不正による情報漏えいと業務停止,辞めた会社で私用のgmailアドレスを使っていたが、gmailアカウントを勝手に消しても良いか。,"　１年前まで働いていたタイムカプセルという会社で、Githubというウェブサービスを利用していた。
　Githubにおいて、会社の役員のアカウントを自分が管理しており、自分のgmailアドレスを連絡先に指定していた。
　その後会社を辞めたが、自分のgmailアドレスに会社の機密情報のようなメールが多数送られてくるので、gmailアカウント自体を消そうと思った。
　おととい会社に電話したところ、メールで連絡してほしいと言われたので、昨日問い合わせのメールをしたが、まだ返答がない。
　Gmailアカウントを勝手に消して良いか。
　アカウントを消すことにより、法的な問題が生じないか心配である。",,"　メールの運用については、会社のセキュリティポリシーなどもあると思われるため、対応について一概に回答はできない。
　会社ともう一度電話連絡を取り、話し合って対応を決めてほしい。","会社は都内に拠点なし。
相談者は横浜在住。",,ガイドブックP.26,,,
81,147,1,01.個別サイバーセキュリティ事象の相談【Mission１】,10.Web サイトの改ざん,中央会のサイトが改ざんされた,"「中央会のサイトが改ざんされた」とネット上に書き込まれている。
調べたところ、ウェブサイトの一部に不審な画像が張り付けられていた。
どうすればよいか。","東京都ＣＳＩＲＴからの連絡で発覚。
実際は、こちらから中央会に連絡したもの。","　同団体のウェブサイトを確認したところ、不審な画像が張り付けられていることが判明した。
　不正アクセスの可能性があることから、サーバーを一時停止の上、ログ確認などの調査をすることを勧めた。
　調査の結果、何者かが同団体のウェブサーバーに侵入したうえ、ＣＭＳを利用して書き込みをした形跡があることが判明した。
　ＣＭＳのサービスは停止したが、ウェブサイトは引き続き運用するとのことであった。",,,ガイドブックP.28,,,
82,63,1,01.個別サイバーセキュリティ事象の相談【Mission１】,11.インターネットバンキングの不正送金,メールで送られてきたフィッシングサイトに、ID、パスワード、マトリックスカードの数字を入力した。,"インターネットバンキングを騙るメールに記載したURLをクリックすると、本物と酷似した偽サイトが表示され、その画面内にある契約者ID、パスワード、マトリックスカードの指定の数字を入力してしまった。銀行には連絡して、マトリックスカードを変えてもらった。
それでいいか？

また、会社のinfo宛てにフィッシングメールが多くなっている",,"処置には問題がない。

Info宛てのメールは、想定されるアドレスであり、送られてくるのは仕方ない。ただ、送信元アドレス、ドメインを受信拒否することはできる",契約者ID、パスワードを変更したかは不明である。,,ガイドブックP.30,ガイドブックP.68,"●予防策
銀行サイト指定の対策アプリの利用
2段階認証、ログイン端末通知
【窓口回答】ガイドブックP.30,P.68を紹介
●緊急時対応
【緊急】銀行、カード会社に届出
【届出】銀行、カード会社が、所轄の警察署に届出
  被害者は銀行、カード会社となるため","ガイドブックP.30,P.68"
83,18,1,01.個別サイバーセキュリティ事象の相談【Mission１】,20.ネット上の誹謗・中傷,ＧｏｏｇｌｅＭａｐの口コミ欄記事を削除したい。,"自営クリニックについて、ＧｏｏｇｌｅＭａｐ口コミ欄に不適切な記載があり、削除又は訂正する方法があれば教えてください。

弁護士や医師会に相談したが、米国企業の為、削除訂正依頼は難しいとの回答であった。

Ｇｏｏｇｌｅ相談窓口へ削除依頼を行ったが、当クリニックと第三者（口コミ投稿者）間での問題であり、対応判断は難しいとの連絡であった。",,"相談窓口を複数紹介し対応依頼をおこなった。
・法テラス
・警視庁サイバー犯罪対策課
・ＩＰＡ「情報セキュリティ安心相談窓口」
・違法・有害情報相談センター",【参考】ＧｏｏｇｌｅＭａｐ口コミ欄投稿に関するトラブル事例が多く検索される。,,,,,
84,56,1,01.個別サイバーセキュリティ事象の相談【Mission１】,20.ネット上の誹謗・中傷,評価サイトに、会社等の悪口を掲載されたが、どうすれば悪口をサイトから削除すれば良いか教えてもらいたい。,"１　今年４月に２～３回、更に９月１回、電話で応対した顧客から、インターネットの評価サイトに、会社の評価５段階中１の最下位にされ、さらにコメント欄に「電話応対が悪い、無愛想な口を聞く」等と悪口を記載された。
２　応対した事実は間違いないが、悪口を記載されるほど、悪い応対はしなかった記憶がある。
３　このまま悪い評価を記載されたままでは、仕事に悪影響が出てしまうので、悪口の記載をなくすためにはどうすれば良いか教えてもらいたい。",,"１　サイトに記載した顧客と電話応対した事実はあり、更にサイトに記載された悪口は、脅迫や業務妨害にも該当せず、事件性はない。
２　悪口をサイトから削除してもらう方法として、サイト会社にメールで、削除依頼をする方法はあるが、削除してもらえるかどうかは、相手側次第となることを教示した。",,,,,,
85,58,1,01.個別サイバーセキュリティ事象の相談【Mission１】,20.ネット上の誹謗・中傷,ＳＮＳ２チャンネルサイトで、いやがらせメールを受けたので、メール内容を見て話をしたい。,"１　趣味人ＳＮＳ２チャンネルサイトで、嫌がらせメールを受けた。
２　警視庁愛宕警察署で、嫌がらせメールの対応策等を相談したたところ、署の担当者から、嫌がらせメールについては、直接サイト業者に言って、サイトから消してもらうよう指導された。
３　嫌がらせメールは、「趣味人　２チャンネル」で検索してもらえばわかるので、見てもらいたい。それを見ながら詳しい内容を話したい。",,"１　都では、２チャンネルは見れません。
２　趣味人スペース２チャンネルサイトは見れないが、嫌がらせメールを受けた内容を教えてもらいたい旨を申し向けた。
３　相談者は、サイトが見れないなら話しても仕方ないので、もういいと言いながら、一方的に電話を切ったもの。",,,,,,
86,130,1,01.個別サイバーセキュリティ事象の相談【Mission１】,20.ネット上の誹謗・中傷,利用しているサイトに、相談者の個人情報が勝手に公開され困っているのでどうすれば良いか教えてもいらたい。,"１　利用している企業サイトの方に、顔写真である個人情報が勝手に公開されている。
２　相談者以外にも、同サイトを利用している者も勝手に顔写真を公開されているようです。
３　顔写真である個人情報をサイトから削除してもらいたいので、どうしたら良いか教えてもらいたい。",相談者は、一般人(個人)である。,"１　利用しているサイト側に対し、直接個人情報の削除依頼をするとトラブルが発生する可能性もある。
２　削除方法としては、第１に、日本司法支援センター(法テラス)に相談し、その上で対処することが大切であることを教示した。",,,,,,
87,142,1,01.個別サイバーセキュリティ事象の相談【Mission１】,20.ネット上の誹謗・中傷,他人のプログでお店に関する批判、中傷が多発している。,"特定のプロガー（アメプロ）よりお店のに関する批判、中傷が昨年の１２月より発生している。
この営業妨害行為をやめさせる対策を教えてください。",,営業妨害に関する資料（プログメッセージ写真等）を持参して所轄警察署への相談を進めた。,,,,,,
88,153,4,01.個別サイバーセキュリティ事象の相談【Mission１】,20.ネット上の誹謗・中傷【10大脅威より】,ネット掲示板で差別的表現で攻撃される,"Ｙａｈｏｏの知恵袋で質問したりすると、差別的表現で攻撃される。
他の掲示板でも同一者と思われる人物より攻撃される。
攻撃者本人は、慶応大学の学生と推定している。（本人の自慢話が当大学関連の場合が多い為）
現在、直接の被害は無いが家族に攻撃がエスカレーションするのが心配です。
（掲示板に主人に関する記載があった）
警察や慶応大学の窓口に相談したがその対応に不満です。","相談内容が抽象的であり攻撃された内容が不明であった。
精神的に不安定な様子。",本人の相談事項が不明確のため、家族（主人）と同行し所轄署ｓへ再度相談を勧めた。,,,,,,
89,20,2,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,"個人所有の携帯・スマホを業務使用している。
セキュリティ上の対策を教えてほしい。","現在、職員個人の携帯端末、スマホ端末で業務メール、ﾌｧｲﾙ共有等をＯｆｆｉｃｅ３６５クラウドサービスを利用して行っている。

企業活動上の情報セキュリティリスクについて
ＢＹＯＤセキュリティ対策を検討中です。
セキュリティ対策事例やＢＹＯＤ事故事例について教えてください。

当社セキュリティ環境は、特別にセキュリティ担当を置いていない、また中小企業で必要とされるセキュリティに関するルール（規定等）は未作成。",中小企業サイバー（情報）セキュリティ対策について、モデル事例化を検討。,"都庁サイバーセキュリティ相談窓口にて、詳細を相談予定。
来庁日をスケジュール中。",,,,ガイドブックP.60,,
90,32,4,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,サイバーセキュリティーとは、どういう意味なのか教えてもらいたい。,"１　１０月２日付の警視庁の広報誌により、都庁内に中小企業サイバーセキュリティ相談窓口が開設されているのを知った。
２　中小企業や相談窓口という言葉は、日本語なので分かるが、サイバーセキュリティの意味が分からない。
３　日本人なら、サイバーセキュリティ等と英語を使わず、日本語にしてもらいたい。
４　パソコン等はなく、インターネットを使ったことはない。",,"１　サイバーセキュリティとは、サイバー攻撃からの防御行為となります。
２　コンピータに不正侵入や情報漏えい等で被害を受けたり、又受ける前の防御方法等を教示するために開設した相談窓口になります。
３　開設したサイバーセキュリティの名称は、日本語に変更はできないので、コンピータに不正侵入や情報漏えい等で被害を受けたり、又被害を受ける前の防御方法等を教示するための相談窓口とそのままご理解ください。",,,,ガイドブックP.79,,
91,49,4,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,ウイルス感染の重要性等の認識が薄い経営者に対し、適切なアドバイスをしていただきたい。,"１　９０台設置されているパソコンのシステム管理を一人で担当している。
２　ウイルスの感染により、部外との通信遅延障害を受けた過去がある。
３　今後の感染対策等として、クラウドの変更や
ウイルス対策等のバージョンアップを経営者にお願いしたものの、経営者から「内の会社に限ってウイルス感染被害に遭う事は無い」と言って、一切ウイルス感染対策に力をいれてくれないので、困っています。
４　ウイルス対策の重要性等につい理解をして頂くために、経営者から相談の電話を入れさせてもらっても良いでしょうか。",,"１　標的型ウイルス（ランサムウエア）は、大手、中小企業を問わず攻撃し、その被害は増加傾向にあり、自分の会社だけは大丈夫ということは絶対にないという今日のシンポジウムの内容を説明すること。
２　会社にとって、クラウドの変更やウイルスのバージョンアップの必要性を直属の上司を介して理解させること。
３　サイバーセキュリティー相談窓口に対し、経営者が電話相談するという方法もあることを教示した。",,,,ガイドブックP.79,,
92,57,2,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,サイバーセキュリティ対策について教えてください,"・退職金の運用に関して個人情報や口座番号など重要情報を保管しています。
・サイバーセキュリティ対策として対応策を検討中です。
・最近のサイバーセキュリティ対策について安全管理措置やサイバーセキュリティ相談窓口を教えてください。",独立法人へのサイバーセキュリティ対応方針ははＮＩＳＣからガイドラインが発行されている。,"相談窓口での対応予定（１２月１６日１４：００～１５：００）
石川氏、他２名",,,,ガイドブックP.79,,
93,64,2,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,迷惑メール及び一般的情報セキュリティー対策等についてアドバイスをもらいたい。,"１　昨年１２月、ＩＴソリューショングループを新設したが、会社のメールのパスワードが盗まれ、当社の名前をかたる送信事案があった為、パスワードを変更した結果、同種事案はなくなった。しかし最近、迷惑メールの書き込みが多くなったので、迷惑メールを止めるにはどうすれば良いか教えてもらいたい。
２　今後、ＩＴソリューショングループとして仕事を進めていくための情報セキュリティー（投資等）についての対策等があれば、教えてもらいたい。",,"１　迷惑メール対策としては、不審なメールを絶対開かないこと。併せて、不審なメールを開かないよう経営者を含め社員全員に徹底指導すること。また、
メールレンタルサービスに対し、不審なメールに対しては、フィリタリングを掛けられないかを確認する。
２　情報セキュリティーのための投資については、全てのリスクに対して技術的対策をすることは困難。セキュリティー被害を受けた場合、その被害に対し会社が被る損害の可能性が高い順に投資をすることが重要になることを考えること。また、システムを入れる際に、セキュリティーも同時に入れるなど、ＩＴとセキュリティー対策を一緒にすることも大切である。更に、経営者を含め、社員全員に対し、セキュリティーポリシーやガイドブックを作成したり、併せてＩＴパスポートの試験を受けさせることも大切であること等を教示した。
　　　","■【補足】一般論として説明した内容
まずは、9か条の遵守
サンプルを参考に、職員向けハンドブックの作成

後付けのセキュリティ対策は大きな投資が必要
今後セキュリティ対策は、IT化投資の一環で考える
業務効率化や生産性向上のための「守りのIT投資」が、セキュリティ対策により利用に過度の制限が付くことによりIT投資が無駄になる可能性がある
　 Cloud, File共有, mail, USB, DVD,
最大のセキュリティリスクは経営者
職員は、社会人の常識としてのITパスポート試験レベルを必須とする
セキュリティ侵害の70～80%は、人のミス、故意
　悪意があれば、技術的な対策はすり抜けられる
　退職者のセキュリティ対策も重要
　ログを取っていることを示すだけでも職員に対する抑止効果は大きい
まずは、人的対策、管理的対策、物理的対策、それでもカバーできないことを技術的対策
技術的対策はどれだけ投資してもリスクは残る
残留リスクをどこまで許容できるかは、経営者の判断
まずは情報資産（情報、情報機器）のリスク分析
対策はリスクの高いものを優先する
リスク＝情報資産に対する脅威（侵害する行為の発生頻度）×情報資産の重要度（機密性レベル＋完全性レベル＋可用性レベル）×脆弱性（実際に侵害が起きる可能性）
（侵害の発生頻度が高く、侵害が顕在化した場合の経済的、社会的損失の大きさ（深刻さ）を勘案してセキュリティ対策の優先度を決める。発生頻度を減らす、被害を減らす、保証を考える）
そのうえで管理的、人的、物理的、技術的対策をセキュリティポリシーとして策定（サンプルを参考に）

外部委託するなら、RFPを作って確実な審査（評価）ができる状態で
そうでなければ、業者に騙される
リスク評価、管理的対策はコンサルに頼んでも完全にはならない
まずは、業者の提案を鵜呑みにしない内部職員のスキルと知識の向上

守りのIT投資としてのセキュリティ対策でも対策が第三者評価を受ければ、ビジネス拡大につながる攻めのIT投資にもなる
　ISMS認証制度、プライバシーマーク

ビジネスの拡大・発展のための「攻めのIT投資」は、未知の世界でセキュリティリスクも高くなる。リスクの大きさと経済的効果を勘案して、セキュリティ対策の投資を考える

IPAは情報処理を振興する機構で、IT化を推進するために阻害要因の一つであるセキュリティ対策の情報を公開して啓発活動を行っている
国の施策は、内閣サイバーセキュリティセンター（NISC）を中心に、METI、総務省、警察庁がそれぞれにセキュリティ対策の実施を行っている

東京都はTCYSSを設置。東京都、警視庁、セキュリティ関係公的機関、民間セキュリティ関係機関で構成。情報を共有し、東京都に相談窓口を開設",,,ガイドブックP.79,"１　迷惑メール対策としては、不審なメールを絶対開かないこと。併せて、不審なメールを開かないよう経営者を含め社員全員に徹底指導すること。また、
メールレンタルサービスに対し、不審なメールに対しては、フィリタリングを掛けられないかを確認する。
２　情報セキュリティーのための投資については、全てのリスクに対して技術的対策をすることは困難。セキュリティー被害を受けた場合、その被害に対し会社が被る損害の可能性が高い順に投資をすることが重要になることを考えること。また、システムを入れる際に、セキュリティーも同時に入れるなど、ＩＴとセキュリティー対策を一緒にすることも大切である。更に、経営者を含め、社員全員に対し、セキュリティーポリシーやガイドブックを作成したり、併せてＩＴパスポートの試験を受けさせることも大切である。
　　　",
94,96,2,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,会社におけるセキュリティ対策は、まずなにをすべきか,自社において、パソコン関係は全て息子に任せてしまっているのでよくわからないが、セキュリティ対策というのは何から始めればいいのか。,,"「自分の会社は関係ない」という意識を廃し、職員一人一人にセキュリティに関する意識を持たせることが第一歩である。
その上で、
・パソコンのＯＳ、ウィルスソフトはアップデートをする
・万一に備えてバックアップを取る
などの対策が望ましい。",,,,ガイドブックP.79,,
95,103,2,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,経営者は、セキュリティー対策強化をする法的義務があるのかどうか教えてもらいたい。,"１　最近、サイバーセキュリティーに対する報道等の中で、特に企業の情報漏えいに関する報道が多い。
２　当社も、顧客情報等重要なデータを保存しているので、サイバーセキュリティーには非常に関心がある。
３　経営者は、サイバーセキュリティー対策強化しなければ、法的な処罰を受けるのかどうか心配なので、教えてもらいたい。",,"１　経営者は、サイバーセキュリティー対策強化の有無について、現時点法的な処罰規定はない。
２　個人情報等を漏えいにより刑事処罰され、秘密情報漏えいにより訴訟の対象となる場合はある。
３　自分の会社を踏み台として、他社が情報漏えい等の被害を受けた場合も、訴訟の対象となる。
４　サイバーセキュリティー対策強化の法的義務はなくても、将来のこと等を踏まえ対策に力を注ぐことは大切であること等を教示した。",,,,ガイドブックP.79,,
96,139,2,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,サイバーセキュリティ対策の導入方法を教えて下さい。,"サイバーセキュリティ対策を社内にて実現する方法について教えて下さい。
現在、サイバーセキュリティ対策について、「サイバーセキュリティ対策の極意」を参考に具体的対策を進めたいが、手を付けられない状態です。
良い案があれば参考にしたい。",,"「中小企業の情報セキュリティ対策ガイドラン＝ＩＰＡ」の活用を提案した。
ポイントは経営者のリーダシップが最も重要であることを説明。",具体的な対策について不明点等の再度相談を進めた。,,,ガイドブックP.79,,
97,148,3,02.全般的なサイバーセキュリティ対策の相談,010.全般的対策,セキュリティ対策はどこまでやったらいいか,"社内で、セキュリティ関連業務を外部に委託している。
現在は最低限のサービスだが、業者からはＵＴＭの導入などを勧められている。
必要ないような気がするが、よくわからない。
また、社内で公用携帯を貸与しているが、特定の人にだけ不審なメールが来る。
標的型メール訓練を行ったが、その人だけ引っかかった。
そういう人の対策にも苦慮している。",,"セキュリティ対策には際限がないので、機密情報の漏えい可能性や、セキュリティ関連予算を勘案して、合理的な範囲で投資することが理想である。
また、セキュリティ意識の低い人には啓発を行わなければならない。
警視庁ＣＳ本部の公式ツイッターで、不審なメール情報を早期に周知しているので、随時確認するよう勧めた。",,,,ガイドブックP.79,,
98,24,4,02.全般的なサイバーセキュリティ対策の相談,012.人的対策,誤送信しないための有効な方法等を教えてもらいたい。,"１　顧客６００人に対し、映像メールを送信する際、個人のメールアドレスを入力したまま、送信してしまった。
２　送信した顧客のうち、１０人の顧客から「送信されてきた映像の中に、個人のメールアドレスが出ており、誤って個人のメールアドレスを送信していないか」等の問い合せがあった。
３　調査した結果、顧客に対し、映像メールを送　信する際、個人のメールアドレスを入力したまま、誤って送信したことが判明したが、現時点において、顧客からの苦情はないものの、今後、誤送信しないための方法等について教えてもらいたい。　",現時点においては、顧客等に対る２次的な被害等はない。,"１　一度メールを送信してしまった場合、送信前に戻すことはできないので、送信する際は、送信内容等十分に検討確認した後、送信することは勿論のこと今後誤送信させないよう従業員に対する教育の徹底に努めること。
２　誤送信された顧客等に対する２次的な被害が発生した場合は、直ちに管轄察署等に届出ること。",,,,ガイドブックP.62,,
99,7,2,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,セキュリティソフト導入で安全ですか？,"業務用ＰＣ　１５台使用中。
業務用１台はＰＣでネットバンキング、インターネットを使用している。
PC～Ｂ/Ｋ　間は、　デジタル回線（専用線ではなく、ＶＮＰ接続と思われる）。

マイクロソフト　エッセンシャルはウイルス対策として実行はしているが、これだけでセキュリティ上安全であるか不安である。","南陽ハウジングの田中敦子氏（相談時は社長）
平成２８年９月２９日現在
退社のため、社長が交代していることが判明。
（電話確認：渡邊）","セキュリティ上、ネットバンキング用ＰＣは専用ＰＣとして共用利用の使用は制限、ネット利用は原則禁止を説明。

セキュリｌテイ管理全般を理解していただく為、「５分でセキュリティ自己診断」
（ＩＰＡ）の案内をした。",,,,ガイドブックP.48,,
